Date,Gold Price VN,Silver Price VN,Silver Price International,Difference Between Gold Price VN & Silver Price VN
2024-12-30,11483412,1089000.0,28.96,10394412.0
2024-12-31,11660789,1083500.0,28.9,10577289.0
2025-01-02,11621621,1094000.0,29.57,10527621.0
2025-01-03,11597556,1103500.0,29.62,10494056.0
2025-01-06,11669746,1101250.0,29.94,10568496.0
2025-01-07,11536619,1114666.6666666667,30.05,10421952.333333334
2025-01-08,11648973,1120333.3333333335,30.12,10528639.666666666
2025-01-09,11734619,1126000.0,30.13,10608619.0
2025-01-10,11682571,1133000.0,30.41,10549571.0
2025-01-13,11728988,1134000.0,29.62,10594988.0
2025-01-14,11715123,1117000.0,29.91,10598123.0
2025-01-15,11893201,1124750.0,30.67,10768451.0
2025-01-16,11884569,1146000.0,30.82,10738569.0
2025-01-17,11949569,1144500.0,30.36,10805069.0
2025-01-20,11867349,1134000.0,30.54,10733349.0
2025-01-21,11986482,1141333.3333333333,30.84,10845148.666666666
2025-01-22,12097392,1153000.0,30.82,10944392.0
2025-01-23,12077631,1145000.0,30.44,10932631.0
2025-01-24,12178173,1152000.0,30.6,11026173.0
2025-01-27,12035683,1153555.5555555555,30.21,10882127.444444444
2025-01-28,12108621,1155111.111111111,30.4,10953509.888888888
2025-01-29,12171183,1156666.6666666665,30.84,11014516.333333334
2025-01-30,12188543,1158222.2222222222,31.65,11030320.777777778
2025-01-31,12139082,1159777.7777777778,31.32,10979304.222222222
2025-02-03,12308680,1161333.3333333333,31.58,11147346.666666666
2025-02-04,12306548,1175500.0,32.14,11131048.0
2025-02-05,12239919,1200200.0,32.31,11039719.0
2025-02-06,12171802,1199750.0,32.22,10972052.0
2025-02-07,12217810,1190000.0,31.81,11027810.0
2025-02-10,12164574,1201400.0,32.05,10963174.0
2025-02-11,12180305,1193333.3333333333,31.82,10986971.666666666
2025-02-12,12150400,1195000.0,32.23,10955400.0
2025-02-13,12353314,1218500.0,32.34,11134814.0
2025-02-14,12162628,1232400.0,32.15,10930228.0
2025-02-17,12226963,1210125.0,32.4,11016838.0
2025-02-18,12319776,1214142.857142857,32.89,11105633.142857144
2025-02-19,12253560,1226166.6666666667,32.7,11027393.333333334
2025-02-20,12256512,1232000.0,32.95,11024512.0
2025-02-21,12175063,1229000.0,32.46,10946063.0
2025-02-24,12183338,1223500.0,32.35,10959838.0
2025-02-25,11984661,1220750.0,31.74,10763911.0
2025-02-26,11983512,1194714.2857142857,31.86,10788797.714285715
2025-02-27,11843325,1196769.2307692308,31.26,10646555.76923077
2025-02-28,11856037,1179666.6666666667,31.15,10676370.333333334
2025-03-03,11951652,1182166.6666666667,31.69,10769485.333333334
2025-03-04,11818462,1196454.5454545454,31.99,10622007.454545455
2025-03-05,11786210,1205200.0,32.66,10581010.0
2025-03-06,11750154,1220000.0,32.64,10530154.0
2025-03-07,11717133,1218666.6666666667,32.53,10498466.333333334
2025-03-10,11697512,1218000.0,32.11,10479512.0
2025-03-11,11548251,1208454.5454545454,32.95,10339796.454545455
2025-03-12,11643895,1230000.0,33.23,10413895.0
2025-03-13,11501415,1241000.0,33.86,10260415.0
2025-03-14,11495309,1266800.0,33.8,10228509.0
2025-03-17,11520949,1270000.0,33.86,10250949.0
2025-03-18,11355285,1276250.0,34.01,10079035.0
2025-03-19,11407142,1274666.6666666667,33.79,10132475.333333334
2025-03-20,11425601,1262400.0,33.58,10163201.0
2025-03-21,11366490,1254250.0,33.03,10112240.0
2025-03-24,11415131,1261000.0,33.02,10154131.0
2025-03-25,11443612,1263500.0,33.73,10180112.0
2025-03-26,11396811,1279800.0,33.64,10117011.0
2025-03-27,11289025,1289800.0,34.41,9999225.0
2025-03-28,11358760,1312666.6666666667,34.13,10046093.333333334
2025-03-31,11310756,1314285.7142857143,34.09,9996470.285714285
2025-04-01,11413519,1306333.3333333333,33.69,10107185.666666666
2025-04-02,11371224,1294000.0,33.89,10077224.0
2025-04-03,11484514,1284454.5454545454,31.86,10200059.454545455
2025-04-04,11535161,1227142.857142857,29.59,10308018.142857144
2025-04-07,11623163,1192666.6666666667,30.08,10430496.333333334
2025-04-08,11499100,1179000.0,29.81,10320100.0
2025-04-09,11632516,1183400.0,31.02,10449116.0
2025-04-10,11598399,1204500.0,31.22,10393899.0
2025-04-11,11668885,1202833.3333333333,32.31,10466051.666666666
2025-04-14,11694729,1226000.0,32.35,10468729.0
2025-04-15,11766476,1239500.0,32.32,10526976.0
2025-04-16,11815865,1248384.6153846155,32.76,10567480.384615384
2025-04-17,11902529,1245000.0,32.52,10657529.0
2025-04-21,11931757,1258500.0,32.68,10673257.0
2025-04-22,11886800,1253000.0,32.5,10633800.0
2025-04-23,11796578,1260000.0,33.57,10536578.0
2025-04-24,11959867,1284857.142857143,33.58,10675009.857142856
2025-04-25,11877524,1288666.6666666667,33.1,10588857.333333334
2025-04-28,12027105,1265000.0,33.16,10762105.0
2025-04-29,12013124,1273142.857142857,32.94,10739981.142857144
2025-04-30,12010474,1264000.0,32.62,10746474.0
2025-05-01,12054627,1239800.0,32.42,10814827.0
2025-05-02,12158524,1251250.0,32.01,10907274.0
2025-05-05,12137020,1237000.0,32.49,10900020.0
2025-05-06,12066318,1260200.0,33.22,10806118.0
2025-05-07,12009968,1258200.0,32.46,10751768.0
2025-05-08,12039306,1252333.3333333333,32.47,10786972.666666666
2025-05-09,12174965,1247600.0,32.73,10927365.0
2025-05-12,12137522,1246500.0,32.6,10891022.0
2025-05-13,12064433,1260625.0,32.91,10803808.0
2025-05-14,12041258,1259000.0,32.23,10782258.0
2025-05-15,12167496,1226750.0,32.64,10940746.0
2025-05-16,12033693,1240500.0,32.3,10793193.0
2025-05-19,12125462,1242250.0,32.36,10883212.0
2025-05-20,12103607,1242600.0,33.09,10861007.0
2025-05-21,11991930,1267250.0,33.39,10724680.0
2025-05-22,11998119,1271666.6666666667,33.06,10726452.333333334
2025-05-23,12133728,1271000.0,33.48,10862728.0
2025-05-26,12055862,1274000.0,33.49,10781862.0
2025-05-27,11983721,1268875.0,33.26,10714846.0
2025-05-28,12054064,1269500.0,32.97,10784564.0
2025-05-29,11989710,1266666.6666666667,33.32,10723043.333333334
2025-05-30,11920894,1267750.0,32.99,10653144.0
2025-06-02,11881883,1273833.3333333333,34.76,10608049.666666666
2025-06-03,12031121,1309166.6666666667,34.52,10721954.333333334
2025-06-04,11947329,1302250.0,34.5,10645079.0
2025-06-05,12006512,1314454.5454545454,35.66,10692057.454545455
2025-06-06,11989994,1343222.2222222222,35.98,10646771.777777778
2025-06-09,11958753,1353000.0,36.76,10605753.0
2025-06-10,11848384,1383333.3333333333,36.53,10465050.666666666
2025-06-11,11800616,1396909.0909090908,36.25,10403706.90909091
2025-06-12,11925640,1388200.0,36.36,10537440.0
2025-06-13,11836321,1397357.142857143,36.31,10438963.857142856
2025-06-16,11820669,1397444.4444444445,36.32,10423224.555555556
2025-06-17,11883307,1405900.0,37.13,10477407.0
2025-06-18,11922433,1428222.2222222222,36.75,10494210.777777778
2025-06-19,11822096,1408727.2727272727,36.4,10413368.727272727
2025-06-20,11934132,1384888.888888889,36.01,10549243.111111112
2025-06-23,11844232,1393400.0,36.11,10450832.0
2025-06-24,11842705,1393000.0,35.92,10449705.0
2025-06-25,11780405,1386000.0,36.26,10394405.0
2025-06-26,11812990,1409200.0,36.65,10403790.0
2025-06-27,11908977,1398230.7692307692,35.99,10510746.23076923
2025-06-30,11919484,1392000.0,36.11,10527484.0
2025-07-01,11905492,1389923.076923077,36.03,10515568.923076924
2025-07-02,11700824,1379555.5555555555,36.56,10321268.444444444
2025-07-03,11790632,1402625.0,36.85,10388007.0
2025-07-04,11903241,1403727.2727272727,36.93,10499513.727272727
2025-07-07,11794435,1394700.0,36.77,10399735.0
2025-07-08,11843799,1400000.0,36.8,10443799.0
