Twitter Account,Twitter Handle,Content
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h need some ramen rn like i need AIR 157 9 230 39K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @juchawild   @0nlythefirst1  and 2 others $37 3 1 17 961
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @MIC_btc im an ai hybrid 3 4 1K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @ripchillpill hat stays on 7 2 18 1.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @Kurrco @cremedupepe 1 6 18K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 14h was the moon landing real yes no 7,461 votes · 9 hours left 294 36 205 65K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @0xzent   @degengigi  and 21 others im sure you can figure it out brotha 4 3 451
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @0xzent   @degengigi  and 21 others yes 2 1 3 645
Ansem,@blknoiz06,Ansem  @blknoiz06 · 14h Replying to  @degengigi   @0xResearchLab  and 20 others well there are many time tokens under 500k atm 13 3 13 1.7K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @0xResearchLab   @0xMert_  and 18 others @timedotfun 13 10 47 5.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @CryptoInvoker   @stormXBT  and 17 others ill open your chart! 2 2 1K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @mst1287   @stormXBT  and 17 others mb king! no cost just forefront of ansems headspace  1 7 1.5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @0xMert_   @stormXBT  and 17 others 7 36 4.5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h jeff vs cz is our generations steve jobs vs bill gates 192 72 1K 81K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 15h Replying to  @stormXBT   @Hivemapper  and 16 others ! Quote David Packham @GunnisonCap · May 12 We’re very pleased to announce the launch of asset manager PREH’s Institutional Real Estate Fund - tokenized through the Chintai network, powered by $CHEX!  This is part of a $750M joint venture with Carlyle, KKR, DRA Advisors, Walton Street, & RPM.    Financial institutions Show more 7 29 139 9.2K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @eagle_wagmi   @stormXBT  and 18 others i mean ofc theres more this is off top of my head im not even up yet  1 2 488
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Quote 𝕸𝖎𝖉𝖆𝖘.hl @Midas0x_13 · 17h  What if the Feds Own Hyperliquid? A digital psy-op disguised as the future of finance  1/ What if I told you Hyperliquid isn’t innovation — it’s infiltration The UX is too smooth. Trades too instant. The branding too clean. Feels less like a DEX and more like an op Let me cook 42 14 61 30K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 15h Replying to  @stormXBT   @Hivemapper  and 16 others Quote BoPuppo (, ) @BoPuppo · Jun 2 6/1/25 - @helium_mobile stats  95,600 - 5G hotspots 1,030,000 Users 34,200 GB transferred   Hotspot of the day  Curvy Chrome Butterfly Dallas, TX Past 30 days $104.13 $HNT earned & 342 GB 4 2 57 6.4K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @stormXBT @Hivemapper    @helium    @ChintaiNetwork    @marginfi    @KaminoFinance    @Parcl    @jito_labs    @JupiterExchange    @drip_haus    @gavelxyz    @VertigoDex    @sanctumso    @SquadsProtocol    @nosana_ai    @MagicEden    @tensor_hq    @ZeusNetworkHQ 222 73 1.1K 57K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @SunTzusWar   @0xKNL__  and  @HyperliquidX no prob man!! 4 392
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @EasyEatsBodega higher 4 1 23 2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h soon Quote 0xRiver @0xRiver8 · Jun 3 Replying to @blknoiz06 and @luckio live stream markets dead 651 54 230 48K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @cozypront he collected how much???? 16 1 65 12K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h lmao i was at this show this was in 2015 in atlanta Quote Literate Hunter  @iamJ_A_M · Jun 3 Vince Staples wouldda really collected that nigga's car Bro wasn't playing   x.com/0o0_nobody/sta… 24 3 28 22K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h in next couple decades if there isn't a way to distinguish whats real & whats AI created these are going to be used to rewrite history  Quote George @BehizyTweets · Jun 3 People are now using AI to depict Biblical stories.  Satan didn't have this on his bingo cards. 0:43 180 93 776 129K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 15h Replying to  @EasyEatsBodega yep 3 48 4.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 16h Replying to  @TraderMagus i will buy spot at $100k w/ you magusman!! 10 1 40 6.7K
Ansem,@blknoiz06,Top Quackers Ansem  @blknoiz06 · 16h Replying to  @OggyWonders  and  @wallchain_xyz no clue! 2 230
Ansem,@blknoiz06,Top Quackers Ansem  @blknoiz06 · 16h Replying to  @BruceGodWayne  and  @wallchain_xyz yoo 14 14 29 1.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 16h Replying to  @blknoiz06   @0nlythefirst1  and 2 others you have to think if hyperliquid wants to be the home for all finance as jeff says then what is currently missing from that feature set & what will they incentivize to get built onchain 6 9 43 17K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 16h Replying to  @blknoiz06   @0nlythefirst1  and 2 others im not fully confident in the memecoin thesis on hyperevm yet, bc currently the user experience is not better than it is on solana, not even close  however believe experimentation w/ hyperliquid builder codes will lead to a few important winners 4 3 38 14K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 16h Replying to  @0nlythefirst1  and  @CloutedMind diff between solana & hyperliquid early days will be that very little of the early solana defi apps ended up doing well  oxygen/maps/serum all bad  w/ hype i believe there will be a few core teams that do very well & if they have tokens you will want to own those  like  @hyperunit 7 2 58 11K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 16h Replying to  @rektsat  and  @CloutedMind it is though 2 4 472
Ansem,@blknoiz06,Ansem  @blknoiz06 · 16h Replying to  @materkel  and  @CloutedMind i dont give a fuck what kinda philosophical nonsense you come up to justify owning underperforming assets just dont be all in them & miss the easy trade twice 5 27 1.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 16h Replying to  @lyemcfly comments here are wiling  Quote Tarsha  @TruthSeeker4u2 · 23h Replying to @InterPassport20 The reason why HIV aids and harpes are on the raise 5 12 3.4K
Ansem,@blknoiz06,Top Quackers Ansem  @blknoiz06 · 16h Replying to  @wallchain_xyz hi! 46 55 4.5K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 16h Replying to  @CloutedMind eth bros, do not miss the emerging L1 trade twice bc of talking heads on twitter, this time it is even more obvious than the last 27 8 148 23K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @TylerDurden imagine? 27 44 7.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @eden_ respect for who???? https://x.com/blknoiz06/stat/blknoiz06/status/1929736825834467489… This post is unavailable. 2 3 1.5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 top 10 WRs list w/ out megatron are you CRAZY Quote MLFootball @_MLFootball · Jun 2 THE TOP 10 WIDE RECEIVERS IN THE #NFL IN THE 2000s:  1) Randy Moss 2) Terrell Owens 3) Marvin Harrison 4) Torry Holt 5) Chad Johnson 6) Hines Ward 7) Steve Smith Sr. 8) Reggie Wayne 9) Issac Bruce  10) Anquan Boldin 106 31 105 42K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 man get hines ward the fuck off this list Quote MLFootball @_MLFootball · Jun 2 THE TOP 10 WIDE RECEIVERS IN THE #NFL IN THE 2000s:  1) Randy Moss 2) Terrell Owens 3) Marvin Harrison 4) Torry Holt 5) Chad Johnson 6) Hines Ward 7) Steve Smith Sr. 8) Reggie Wayne 9) Issac Bruce  10) Anquan Boldin 45 4 61 30K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @Credib1eGuy infinity 28 1 57 4.1K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @neil_xbt im in you for the tech 5 1 10 3.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 lmao Quote rasmr @rasmr_eth · Jun 3 Replying to @rasmr_eth Here!! http://Twitch.tv/rasmrr 37 3 49 31K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @riff_sol fuck you!! 12 1 22 899
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @Astrotot_888 3 7 18 1.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @Jaspee_X  and  @tokyosunbather 1 2 312
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @0xKrop fuck you 29 5 44 2.4K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · Jun 3 this is America, my president is black and my lambo is blue nigga, now get the fuck outta my hotel room 159 20 518 75K"
Ansem,@blknoiz06,"Ansem  @blknoiz06 · Jun 3 Replying to  @mikeyymarinara  and  @ExitLiqCapital youre thinking of dreaming about another man who doesnt know you exist  Quote King of the Till ATH @mikeyymarinara · May 22, 2024 I’m dreaming of riding my snowmobile all winter, then in the summer, driving my atv  and jet ski like they have a 10 year warranty. You’re dreaming of dancing next to ansem at the end of this cycle. We are not the same. 3 4 944"
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @pharbio1  and  @d_gilz kfc SUCKS and im NOT JEWISH 3 3 425
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @0xKNL__ yo  @HyperliquidX  brothas!! 35 26 184 19K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Quote Pio @piovincenzo_ · Jun 3 10X gold is $200T 64 8 123 40K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @boogiepnl for waht 6 1 637
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 daily candles in other timezones always fuck me up 117 18 331 49K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 i am the greatest crash player of all time https://luck.io/crash Luck.io 69 3 103 33K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 innis bih whippin whippin cookin up concoctions that you could sell in an auction 83 10 110 27K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @nikokampouris i call myself a LOK LOVER OF KANGAROOS 22 3 19 4.1K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @raleighkeegan  and  @d_gilz oh you saw it? or did you read about it in the book? 4 11 602
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @d_gilz i mean christianity 360 no scoped the entire planet just w/ a book 11 2 63 4.3K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @d_gilz niggas cant even tell which reply bots are scams and we're supposed to believe they wont get oneshotted by an advanced LLM lmfaooooooooooowearesocookedooooooooooooooooooookkokoo 3 27 2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @jenfassino no you dont you love it! 4 9 5.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 bro paused time Quote The Eagle Times @TheEagleTimes_ · Jun 2 Behind the scenes of the Madden 26 cover  100 11 166 62K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · Jun 3 Replying to  @veH0rny guess one might say they were too, loudio, for ya  2 9 1K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @0xFent   @stevenyuntcap  and  @pythianism agree 4 331
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Quote Ap @Slime_Bradyy · Jun 3 Replying to @blknoiz06 Where u see that at? 66 9 80 42K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 did saylor just promise 10% annual returns to ppl if they let him borrow money to buy bitcoin or am i reading this strd stuff wrong 248 74 2K 316K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @R89Capital in what way 10 49 21K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @beast_ico maybe 1 instead 3 18 1.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @Deante_Kyle booby trap at 10am  3 9 2.8K
Ansem,@blknoiz06,Fly Eagles Fly Ansem  @blknoiz06 · Member · Jun 3 Replying to  @Mr___Carter99 man. 2 1 6 2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @kelxyz_  and  @cobie i think we gotta do it ourselves brother our forefathers who made the trillions would like to remain anonymous 1 11 2.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @skkkully first? 2 3 390
Ansem,@blknoiz06,"Ansem  @blknoiz06 · Jun 3 Replying to  @frizzaud Quote Ansem  @blknoiz06 · Sep 17, 2024 gotta make enough money that you just stop pulling out 1 5 1K"
Ansem,@blknoiz06,"Ansem  @blknoiz06 · Jun 3 Quote gnarleyquinn @gnarleyjs · Jun 3 Replying to @blknoiz06 I understood none of that. Like, absolutely nothing. 46 7 45 28K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 alright slow ya roll IRS Quote Crypto Trooper @crypto_trooperr · Jun 3 Replying to @blknoiz06 what’s that one trade that changed your life and how much did you invest in that trade 65 13 323 51K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @CryptoKaleo  and  @FloodCapital glxy is the better play im almost certain 7 4 56 9.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Quote ICEY. JUP @GIVEMEY0URSOL · Jun 3 Replying to @blknoiz06 This dude never gets tired of shitting on solana. He will do the same to hype in a few years…good riddance 37 3 71 30K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 that might be my most American tweet of all time 103 7 223 46K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 watching the hype/sol pair go up for me would be like being a die hard 49ers fan in the 80s & 90s then having to watch him play on his last season on the seahawks while randy moss is torching ppl 98 10 295 56K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @ThinkingUSD pls sir no more 15 41 6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @IAmLilRico LMAO 1 3 1.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 eth bros in wartime mode Quote Ethereum Foundation @ethereumfndn · Jun 3 Announcing Protocol  https://blog.ethereum.org/2025/06/02/announcing-protocol… 110 21 437 91K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @SMtrades_ lesson in there 16 1 34 5.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 whoa Quote Binance.US  @BinanceUS · Jun 3 The $HYPE is real.  Spot trading for @HyperliquidX is coming soon to http://Binance.US. Follow us to get notified when our new listing goes live. 91 27 354 49K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @icebergy_ funniest thing he's done so far 13 2 99 9.3K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @TheMisterFrog do you also burn the old ones 19 1 42 8.9K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 yessirrrr Quote Madden NFL 26 @EAMaddenNFL · Jun 2 .@Saquon hurdled his way onto the cover of #Madden26  Coming 8.14.25. Pre-Order Today.  : http://x.ea.com/84291 68 7 87 33K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @pythianism  and  @HyperliquidX oh man 8 35 4.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @ChaseOnchain  and  @blknoiz06intern no! 2 6 520
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @AltcoinPsycho  and  @AgentChud yea i rmb this lol 7 15 3.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · Jun 3 Replying to  @AgentChud  and  @AltcoinPsycho dont think so Quote Ansem  @blknoiz06 · Jun 3 Replying to @0xKeraunos and @blknoiz06intern its similar in that solana has hit its peak re: memecoin activity & mindshare  you will not be able to top the president launching a memecoin onchain and tweeting out the CA  to remain relevant sol will need to find alternatives outside of memecoin activity to drive REV onchain: Show more 1 2 1.5K
